step,wall_time,value
90599,1776913980.820442,0
90649,1776914000.997625,0
90699,1776914020.576000,0
90749,1776914040.053824,0
90799,1776914059.415248,0
90849,1776914078.791561,0
90899,1776914098.297135,0
90949,1776914117.738147,0
90999,1776914138.087634,0
91049,1776914157.127552,0
91099,1776914178.582317,0
91149,1776914197.275484,0
91199,1776914216.036026,0
91249,1776914235.315688,0
91299,1776914255.215772,0
91349,1776914274.629118,0
91399,1776914295.122719,0
91449,1776914314.722334,0
91499,1776914334.109683,0
91549,1776914353.216973,0
91599,1776914373.072911,0
91649,1776914391.989387,0
91699,1776914412.381897,0
91749,1776914431.877844,0
91799,1776914450.203173,0
91849,1776914469.921715,0
91899,1776914489.015155,0
91949,1776914508.167868,0
91999,1776914527.217726,0
92049,1776914545.923970,0
92099,1776914565.555919,0
92149,1776914585.177092,0
92199,1776914604.070291,0
92249,1776914624.078868,0
92299,1776914643.084003,0
92349,1776914662.505472,0
92399,1776914681.744813,0
92449,1776914700.044261,0
92499,1776914719.480381,0
92549,1776914737.419923,0
92599,1776914757.285005,0
92649,1776914780.074881,0
92699,1776914802.592638,0
92749,1776914825.256140,0
92799,1776914847.819041,0
92849,1776914867.761745,0
92899,1776914887.134109,0
92949,1776914906.399333,0
92999,1776914930.571939,0
93049,1776914952.414572,0
93099,1776914975.948909,0
93149,1776915001.595507,0
93199,1776915023.422701,0
93249,1776915043.864675,0
93299,1776915065.197338,0
93349,1776915085.820600,0
93399,1776915107.623181,0
93449,1776915127.772582,0
93499,1776915147.965112,0
93549,1776915168.732058,0
93599,1776915188.442524,0
93649,1776915207.510484,0
93699,1776915227.331279,0
93749,1776915248.043833,0
93799,1776915268.065022,0
93849,1776915287.770308,0
93899,1776915308.238437,0
93949,1776915327.218761,0
93999,1776915346.190165,0
94049,1776915366.277170,0
94099,1776915384.930005,0
94149,1776915404.467549,0
94199,1776915426.085776,0
94249,1776915445.179429,0
94299,1776915464.876343,0
94349,1776915490.078677,0
