step,wall_time,value
49,1775345371.634375,0
99,1775345378.059187,0
149,1775345384.807160,0
199,1775345391.365930,0
249,1775345398.122757,0
299,1775345404.998261,0
349,1775345411.290512,0
399,1775345418.146165,0
449,1775345424.690511,0
499,1775345431.256661,0
549,1775345437.633815,0
599,1775345444.287053,0
649,1775345450.705263,0
699,1775345457.552559,0
749,1775345463.789080,0
799,1775345470.355660,0
849,1775345477.013077,0
899,1775345483.624229,0
949,1775345491.709150,0
999,1775345498.367076,0
1049,1775345505.329620,0
1099,1775345512.052517,0
1149,1775345518.729832,0
1199,1775345525.661879,0
1249,1775345532.294611,0
1299,1775345538.833365,0
1349,1775345545.589839,0
1399,1775345552.367587,0
1449,1775345559.011782,0
1499,1775345565.565118,0
1549,1775345572.201220,0
1599,1775345578.972671,0
1649,1775345585.518057,0
1699,1775345591.884555,0
1749,1775345598.420552,0
1799,1775345605.141067,0
1849,1775345611.881629,0
1899,1775345618.567354,0
1949,1775345625.363181,0
1999,1775345631.902055,0
2049,1775345638.484354,0
2099,1775345646.507819,0
2149,1775345653.290462,0
2199,1775345659.901016,0
2249,1775345666.566159,0
2299,1775345673.202742,0
2349,1775345680.003048,0
2399,1775345686.749671,0
2449,1775345693.382877,0
2499,1775345700.040401,0
2549,1775345706.530367,0
2599,1775345713.435766,0
2649,1775345720.197910,0
2699,1775345727.102336,0
2749,1775345733.770753,0
2799,1775345740.547164,0
2849,1775345747.375219,0
2899,1775345753.702393,0
2949,1775345759.944671,0
2999,1775345766.522703,0
3049,1775345773.336197,0
3099,1775345780.139647,0
3149,1775345786.661929,0
3199,1775345793.357027,0
3249,1775345800.795729,0
3299,1775345807.237905,0
3349,1775345813.930176,0
3399,1775345820.628328,0
3449,1775345827.320481,0
3499,1775345834.187770,0
3549,1775345840.728585,0
3599,1775345847.491587,0
3649,1775345853.932280,0
3699,1775345860.355443,0
3749,1775345867.005022,0
3799,1775345873.412735,0
3849,1775345880.004224,0
3899,1775345886.637331,0
3949,1775345893.087942,0
3999,1775345899.734985,0
4049,1775345906.461060,0
4099,1775345912.802686,0
4149,1775345919.400674,0
4199,1775345926.377357,0
4249,1775345933.194540,0
4299,1775345940.242282,0
4349,1775345946.952851,0
4399,1775345953.673997,0
4449,1775345961.407984,0
4499,1775345968.059541,0
4549,1775345974.736133,0
4599,1775345981.309861,0
4649,1775345987.697124,0
4699,1775345994.424706,0
4749,1775346000.968828,0
4799,1775346007.398951,0
4849,1775346014.038254,0
4899,1775346020.617230,0
4949,1775346027.225349,0
4999,1775346033.594305,0
5049,1775346040.155390,0
5099,1775346046.655417,0
5149,1775346052.825390,0
5199,1775346059.292524,0
5249,1775346065.390553,0
5299,1775346071.784970,0
5349,1775346078.266499,0
5399,1775346084.669079,0
5449,1775346090.842312,0
5499,1775346096.736292,0
5549,1775346103.338680,0
5599,1775346110.882069,0
5649,1775346117.212425,0
5699,1775346123.737820,0
5749,1775346129.931173,0
5799,1775346136.316326,0
5849,1775346142.680458,0
5899,1775346149.157957,0
5949,1775346155.601981,0
5999,1775346162.012432,0
6049,1775346168.462520,0
6099,1775346174.760406,0
6149,1775346181.155577,0
6199,1775346187.373076,0
6249,1775346193.842369,0
6299,1775346200.352682,0
6349,1775346206.650287,0
6399,1775346212.695018,0
6449,1775346219.074553,0
6499,1775346225.598982,0
6549,1775346231.778851,0
6599,1775346238.235312,0
6649,1775346244.885215,0
6699,1775346251.195585,0
6749,1775346258.423591,0
6799,1775346264.671805,0
6849,1775346271.029313,0
6899,1775346277.427677,0
6949,1775346283.557642,0
6999,1775346290.142152,0
7049,1775346296.294248,0
7099,1775346302.603082,0
7149,1775346308.983438,0
7199,1775346315.410890,0
7249,1775346321.956050,0
7299,1775346328.279971,0
7349,1775346334.586718,0
7399,1775346340.971180,0
7449,1775346347.724728,0
7499,1775346354.204108,0
7549,1775346360.726908,0
7599,1775346367.248630,0
7649,1775346373.474140,0
7699,1775346379.730250,0
7749,1775346386.191324,0
7799,1775346392.752609,0
7849,1775346399.399613,0
7899,1775346406.451345,0
7949,1775346413.233693,0
7999,1775346419.570994,0
8049,1775346426.273442,0
8099,1775346433.033812,0
8149,1775346440.050792,0
8199,1775346446.958669,0
8249,1775346453.754971,0
8299,1775346460.623985,0
8349,1775346467.377602,0
8399,1775346474.047575,0
8449,1775346480.867673,0
8499,1775346487.389040,0
8549,1775346494.129341,0
8599,1775346501.304560,0
8649,1775346508.061464,0
8699,1775346515.073132,0
8749,1775346521.983795,0
8799,1775346528.795782,0
8849,1775346535.677955,0
8899,1775346542.283905,0
8949,1775346548.868386,0
8999,1775346555.913933,0
9049,1775346563.415465,0
9099,1775346569.988657,0
9149,1775346576.836097,0
9199,1775346583.559530,0
9249,1775346590.452099,0
9299,1775346597.229474,0
9349,1775346603.993816,0
9399,1775346610.639027,0
9449,1775346617.330067,0
9499,1775346623.957946,0
9549,1775346630.680803,0
9599,1775346637.276545,0
9649,1775346644.069733,0
9699,1775346650.573782,0
9749,1775346656.722073,0
9799,1775346663.366946,0
9849,1775346669.996375,0
9899,1775346676.431959,0
9949,1775346682.591738,0
9999,1775346689.156139,0
10049,1775346695.503816,0
10099,1775346701.479061,0
10149,1775346707.797989,0
10199,1775346714.979490,0
10249,1775346721.368203,0
10299,1775346727.793897,0
10349,1775346734.214073,0
10399,1775346740.506602,0
10449,1775346746.826043,0
10499,1775346753.201341,0
10549,1775346759.396428,0
10599,1775346765.830494,0
10649,1775346772.653595,0
10699,1775346779.216115,0
10749,1775346785.927163,0
10799,1775346792.776581,0
10849,1775346799.125094,0
10899,1775346805.674971,0
10949,1775346812.313382,0
10999,1775346818.792650,0
11049,1775346824.948472,0
11099,1775346831.184583,0
11149,1775346837.602973,0
11199,1775346844.219453,0
11249,1775346850.622804,0
11299,1775346856.831496,0
11349,1775346863.743723,0
11399,1775346870.226768,0
11449,1775346876.261219,0
11499,1775346882.388169,0
11549,1775346888.394647,0
11599,1775346894.899612,0
11649,1775346900.953768,0
11699,1775346907.217292,0
11749,1775346913.191216,0
11799,1775346919.172488,0
11849,1775346925.598021,0
11899,1775346931.986038,0
11949,1775346937.822372,0
11999,1775346944.475050,0
12049,1775346950.598346,0
12099,1775346956.999710,0
12149,1775346963.345212,0
12199,1775346969.486122,0
12249,1775346975.397227,0
12299,1775346981.436975,0
12349,1775346987.704035,0
12399,1775346994.220167,0
12449,1775347000.808586,0
12499,1775347007.891272,0
12549,1775347014.220665,0
12599,1775347020.685302,0
12649,1775347027.182168,0
12699,1775347033.768498,0
12749,1775347040.179316,0
12799,1775347046.530328,0
12849,1775347052.592703,0
12899,1775347058.433981,0
12949,1775347064.881483,0
12999,1775347071.531711,0
13049,1775347077.851491,0
13099,1775347084.358674,0
13149,1775347090.802606,0
13199,1775347097.221542,0
13249,1775347103.681436,0
13299,1775347110.035724,0
13349,1775347116.337398,0
13399,1775347122.804379,0
13449,1775347129.120412,0
13499,1775347135.558534,0
13549,1775347142.134551,0
13599,1775347148.640221,0
13649,1775347155.793365,0
13699,1775347162.017202,0
13749,1775347168.480818,0
13799,1775347175.028698,0
13849,1775347181.510281,0
13899,1775347187.327389,0
13949,1775347193.392476,0
13999,1775347199.916894,0
14049,1775347206.085335,0
14099,1775347212.442601,0
14149,1775347218.799218,0
14199,1775347225.383932,0
14249,1775347231.668989,0
14299,1775347237.933282,0
14349,1775347244.360265,0
14399,1775347250.793845,0
14449,1775347256.821010,0
14499,1775347262.742243,0
14549,1775347268.562636,0
14599,1775347274.766460,0
14649,1775347280.492195,0
14699,1775347286.577320,0
14749,1775347292.634525,0
14799,1775347299.454845,0
14849,1775347306.093689,0
14899,1775347312.893102,0
14949,1775347319.249550,0
14999,1775347325.724612,0
15049,1775347332.632874,0
15099,1775347338.863148,0
15149,1775347345.438153,0
15199,1775347352.182313,0
15249,1775347358.649670,0
15299,1775347365.175168,0
15349,1775347371.868504,0
15399,1775347378.558366,0
15449,1775347385.372266,0
15499,1775347392.054130,0
15549,1775347398.600285,0
15599,1775347405.497410,0
15649,1775347411.991690,0
15699,1775347418.352643,0
15749,1775347424.751202,0
15799,1775347431.187243,0
15849,1775347437.591147,0
15899,1775347444.087131,0
15949,1775347450.478734,0
15999,1775347457.374465,0
16049,1775347463.828832,0
16099,1775347470.130528,0
16149,1775347476.577779,0
16199,1775347482.408654,0
16249,1775347488.214291,0
16299,1775347494.514977,0
16349,1775347500.908944,0
16399,1775347507.153557,0
16449,1775347513.309640,0
16499,1775347519.514896,0
16549,1775347525.968562,0
16599,1775347532.122224,0
16649,1775347538.670589,0
16699,1775347545.255151,0
16749,1775347551.767608,0
16799,1775347558.344243,0
16849,1775347564.742330,0
16899,1775347571.004351,0
16949,1775347577.157372,0
16999,1775347583.506174,0
17049,1775347590.005723,0
17099,1775347596.781835,0
17149,1775347602.952802,0
17199,1775347609.126848,0
17249,1775347615.496799,0
17299,1775347621.673502,0
17349,1775347627.732565,0
17399,1775347634.244188,0
17449,1775347640.779696,0
17499,1775347646.678341,0
17549,1775347652.739174,0
17599,1775347659.204507,0
17649,1775347665.872740,0
17699,1775347672.080798,0
17749,1775347678.677986,0
17799,1775347684.750109,0
17849,1775347691.290581,0
17899,1775347697.499941,0
17949,1775347703.823356,0
17999,1775347710.227474,0
18049,1775347716.903862,0
18099,1775347723.012199,0
18149,1775347729.157593,0
18199,1775347735.482249,0
18249,1775347742.056793,0
18299,1775347748.415124,0
18349,1775347754.971419,0
18399,1775347761.807141,0
18449,1775347768.701682,0
18499,1775347775.343085,0
18549,1775347781.939856,0
18599,1775347788.524271,0
18649,1775347794.954189,0
18699,1775347801.295740,0
18749,1775347807.896738,0
18799,1775347814.621925,0
18849,1775347821.151608,0
18899,1775347827.823140,0
18949,1775347834.012336,0
18999,1775347840.352055,0
19049,1775347846.614346,0
19099,1775347853.009385,0
19149,1775347859.456934,0
19199,1775347865.215079,0
19249,1775347871.563558,0
19299,1775347877.844458,0
19349,1775347884.503151,0
19399,1775347891.422812,0
19449,1775347897.271418,0
19499,1775347903.601081,0
19549,1775347909.785718,0
19599,1775347916.315688,0
19649,1775347923.158304,0
19699,1775347929.636947,0
19749,1775347936.249602,0
19799,1775347942.414455,0
19849,1775347949.001570,0
19899,1775347955.531687,0
19949,1775347961.546544,0
19999,1775347967.812624,0
20049,1775347974.294191,0
20099,1775347980.651347,0
20149,1775347987.342561,0
20199,1775347993.746846,0
20249,1775348000.328393,0
20299,1775348006.450790,0
20349,1775348012.801838,0
20399,1775348019.106452,0
20449,1775348025.553319,0
20499,1775348032.231292,0
20549,1775348039.186502,0
20599,1775348045.730908,0
20649,1775348052.467818,0
20699,1775348059.279576,0
20749,1775348065.807844,0
20799,1775348072.342227,0
20849,1775348079.102075,0
20899,1775348085.045791,0
20949,1775348091.604733,0
20999,1775348097.860286,0
21049,1775348103.927025,0
21099,1775348110.080008,0
21149,1775348116.187412,0
21199,1775348122.441871,0
21249,1775348128.573340,0
21299,1775348134.927302,0
21349,1775348141.596860,0
21399,1775348148.165350,0
21449,1775348154.703576,0
21499,1775348161.113971,0
21549,1775348167.272414,0
21599,1775348173.767540,0
21649,1775348180.409424,0
21699,1775348187.707922,0
21749,1775348194.390524,0
21799,1775348201.036908,0
21849,1775348207.694605,0
21899,1775348214.327915,0
21949,1775348220.727081,0
21999,1775348227.310087,0
22049,1775348234.104872,0
22099,1775348240.911775,0
22149,1775348247.574822,0
22199,1775348254.035200,0
22249,1775348260.425007,0
22299,1775348266.376420,0
22349,1775348272.737789,0
22399,1775348278.947529,0
22449,1775348285.447892,0
22499,1775348291.949739,0
22549,1775348297.962352,0
22599,1775348304.371197,0
22649,1775348311.142099,0
22699,1775348317.330834,0
22749,1775348323.786903,0
22799,1775348330.388211,0
