step,wall_time,value
49,1775345371.634619,0
99,1775345378.059287,0
149,1775345384.807312,0
199,1775345391.366091,0
249,1775345398.122972,0
299,1775345404.998369,0
349,1775345411.290614,0
399,1775345418.146278,0
449,1775345424.690668,0
499,1775345431.256814,0
549,1775345437.633941,0
599,1775345444.287215,0
649,1775345450.705426,0
699,1775345457.552706,0
749,1775345463.789229,0
799,1775345470.355766,0
849,1775345477.013243,0
899,1775345483.624337,0
949,1775345491.709256,0
999,1775345498.367182,0
1049,1775345505.329776,0
1099,1775345512.052734,0
1149,1775345518.730065,0
1199,1775345525.662021,0
1249,1775345532.294802,0
1299,1775345538.833474,0
1349,1775345545.590003,0
1399,1775345552.367696,0
1449,1775345559.011900,0
1499,1775345565.565264,0
1549,1775345572.201330,0
1599,1775345578.972822,0
1649,1775345585.518162,0
1699,1775345591.884665,0
1749,1775345598.420744,0
1799,1775345605.141174,0
1849,1775345611.881738,0
1899,1775345618.567520,0
1949,1775345625.363360,0
1999,1775345631.902164,0
2049,1775345638.484510,0
2099,1775345646.507987,0
2149,1775345653.290662,0
2199,1775345659.901114,0
2249,1775345666.566314,0
2299,1775345673.202903,0
2349,1775345680.003160,0
2399,1775345686.749780,0
2449,1775345693.383036,0
2499,1775345700.040536,0
2549,1775345706.530528,0
2599,1775345713.435924,0
2649,1775345720.198020,0
2699,1775345727.102542,0
2749,1775345733.770925,0
2799,1775345740.547365,0
2849,1775345747.375418,0
2899,1775345753.702496,0
2949,1775345759.944822,0
2999,1775345766.522853,0
3049,1775345773.336462,0
3099,1775345780.139748,0
3149,1775345786.662039,0
3199,1775345793.357131,0
3249,1775345800.795905,0
3299,1775345807.238065,0
3349,1775345813.930323,0
3399,1775345820.628517,0
3449,1775345827.320673,0
3499,1775345834.187935,0
3549,1775345840.728693,0
3599,1775345847.491747,0
3649,1775345853.932504,0
3699,1775345860.355595,0
3749,1775345867.005235,0
3799,1775345873.412900,0
3849,1775345880.004377,0
3899,1775345886.637479,0
3949,1775345893.088053,0
3999,1775345899.735135,0
4049,1775345906.461210,0
4099,1775345912.802839,0
