step,wall_time,value
49,1775345371.634442,0
99,1775345378.059236,0
149,1775345384.807209,0
199,1775345391.365978,0
249,1775345398.122822,0
299,1775345404.998308,0
349,1775345411.290561,0
399,1775345418.146218,0
449,1775345424.690566,0
499,1775345431.256713,0
549,1775345437.633865,0
599,1775345444.287100,0
649,1775345450.705312,0
699,1775345457.552651,0
749,1775345463.789130,0
799,1775345470.355712,0
849,1775345477.013129,0
899,1775345483.624278,0
949,1775345491.709203,0
999,1775345498.367126,0
1049,1775345505.329671,0
1099,1775345512.052577,0
1149,1775345518.729912,0
1199,1775345525.661952,0
1249,1775345532.294659,0
1299,1775345538.833415,0
1349,1775345545.589900,0
1399,1775345552.367639,0
1449,1775345559.011830,0
1499,1775345565.565166,0
1549,1775345572.201271,0
1599,1775345578.972720,0
1649,1775345585.518107,0
1699,1775345591.884608,0
1749,1775345598.420620,0
1799,1775345605.141116,0
1849,1775345611.881680,0
1899,1775345618.567404,0
1949,1775345625.363242,0
1999,1775345631.902106,0
2049,1775345638.484406,0
2099,1775345646.507923,0
2149,1775345653.290529,0
2199,1775345659.901063,0
2249,1775345666.566208,0
2299,1775345673.202792,0
2349,1775345680.003099,0
2399,1775345686.749723,0
2449,1775345693.382958,0
2499,1775345700.040463,0
2549,1775345706.530463,0
2599,1775345713.435815,0
2649,1775345720.197962,0
2699,1775345727.102399,0
2749,1775345733.770849,0
2799,1775345740.547234,0
2849,1775345747.375285,0
2899,1775345753.702443,0
2949,1775345759.944721,0
2999,1775345766.522753,0
3049,1775345773.336265,0
3099,1775345780.139698,0
3149,1775345786.661981,0
3199,1775345793.357076,0
3249,1775345800.795781,0
3299,1775345807.237957,0
3349,1775345813.930223,0
3399,1775345820.628394,0
3449,1775345827.320543,0
3499,1775345834.187820,0
3549,1775345840.728635,0
3599,1775345847.491639,0
3649,1775345853.932359,0
3699,1775345860.355491,0
3749,1775345867.005092,0
3799,1775345873.412784,0
3849,1775345880.004274,0
3899,1775345886.637382,0
3949,1775345893.087995,0
3999,1775345899.735034,0
4049,1775345906.461110,0
4099,1775345912.802738,0
4149,1775345919.400738,0
4199,1775345926.377413,0
4249,1775345933.194592,0
4299,1775345940.242386,0
4349,1775345946.952913,0
4399,1775345953.674051,0
4449,1775345961.408033,0
4499,1775345968.059613,0
4549,1775345974.736180,0
4599,1775345981.309925,0
4649,1775345987.697174,0
4699,1775345994.424775,0
4749,1775346000.968877,0
4799,1775346007.399004,0
4849,1775346014.038304,0
4899,1775346020.617301,0
4949,1775346027.225416,0
4999,1775346033.594351,0
5049,1775346040.155439,0
5099,1775346046.655484,0
5149,1775346052.825441,0
5199,1775346059.292575,0
5249,1775346065.390601,0
5299,1775346071.785017,0
5349,1775346078.266548,0
5399,1775346084.669129,0
5449,1775346090.842366,0
5499,1775346096.736346,0
5549,1775346103.338729,0
5599,1775346110.882119,0
5649,1775346117.212473,0
5699,1775346123.737870,0
5749,1775346129.931223,0
5799,1775346136.316424,0
5849,1775346142.680525,0
5899,1775346149.158009,0
5949,1775346155.602033,0
5999,1775346162.012487,0
6049,1775346168.462569,0
6099,1775346174.760457,0
6149,1775346181.155625,0
6199,1775346187.373125,0
6249,1775346193.842464,0
6299,1775346200.352797,0
6349,1775346206.650337,0
6399,1775346212.695070,0
6449,1775346219.074602,0
6499,1775346225.599031,0
6549,1775346231.778914,0
6599,1775346238.235361,0
6649,1775346244.885264,0
6699,1775346251.195678,0
6749,1775346258.423640,0
6799,1775346264.671856,0
6849,1775346271.029375,0
6899,1775346277.427746,0
6949,1775346283.557690,0
6999,1775346290.142202,0
7049,1775346296.294353,0
7099,1775346302.603131,0
7149,1775346308.983534,0
7199,1775346315.410943,0
7249,1775346321.956097,0
7299,1775346328.280023,0
7349,1775346334.586769,0
7399,1775346340.971231,0
7449,1775346347.724780,0
7499,1775346354.204159,0
7549,1775346360.726959,0
7599,1775346367.248680,0
7649,1775346373.474190,0
7699,1775346379.730298,0
7749,1775346386.191375,0
7799,1775346392.752661,0
7849,1775346399.399665,0
7899,1775346406.451393,0
7949,1775346413.233786,0
7999,1775346419.571043,0
8049,1775346426.273494,0
8099,1775346433.033862,0
8149,1775346440.050844,0
8199,1775346446.958720,0
8249,1775346453.755032,0
8299,1775346460.624051,0
8349,1775346467.377652,0
8399,1775346474.047625,0
8449,1775346480.867739,0
8499,1775346487.389090,0
8549,1775346494.129391,0
8599,1775346501.304654,0
8649,1775346508.061531,0
8699,1775346515.073183,0
8749,1775346521.983856,0
8799,1775346528.795834,0
8849,1775346535.678005,0
8899,1775346542.283974,0
8949,1775346548.868455,0
8999,1775346555.913980,0
9049,1775346563.415515,0
9099,1775346569.988707,0
9149,1775346576.836145,0
9199,1775346583.559580,0
9249,1775346590.452148,0
9299,1775346597.229523,0
9349,1775346603.993867,0
9399,1775346610.639081,0
9449,1775346617.330119,0
9499,1775346623.957996,0
9549,1775346630.680851,0
9599,1775346637.276600,0
9649,1775346644.069800,0
9699,1775346650.573836,0
9749,1775346656.722128,0
9799,1775346663.366995,0
9849,1775346669.996425,0
9899,1775346676.432012,0
9949,1775346682.591787,0
9999,1775346689.156185,0
10049,1775346695.503875,0
10099,1775346701.479118,0
10149,1775346707.798040,0
10199,1775346714.979556,0
10249,1775346721.368268,0
10299,1775346727.793953,0
10349,1775346734.214125,0
10399,1775346740.506654,0
10449,1775346746.826094,0
10499,1775346753.201411,0
10549,1775346759.396498,0
10599,1775346765.830544,0
10649,1775346772.653660,0
10699,1775346779.216167,0
10749,1775346785.927214,0
10799,1775346792.776632,0
10849,1775346799.125160,0
10899,1775346805.675036,0
10949,1775346812.313446,0
10999,1775346818.792699,0
11049,1775346824.948521,0
11099,1775346831.184631,0
11149,1775346837.603020,0
11199,1775346844.219501,0
11249,1775346850.622853,0
11299,1775346856.831564,0
11349,1775346863.743782,0
11399,1775346870.226820,0
11449,1775346876.261272,0
11499,1775346882.388219,0
11549,1775346888.394697,0
11599,1775346894.899666,0
11649,1775346900.953820,0
