step,wall_time,value
49,1775008383.516930,0
99,1775008389.491997,0
149,1775008395.328525,0
199,1775008401.321774,0
249,1775008407.327622,0
299,1775008413.444185,0
349,1775008419.457549,0
399,1775008425.570596,0
449,1775008431.582217,0
499,1775008437.548292,0
549,1775008443.460428,0
599,1775008449.256296,0
649,1775008455.251615,0
699,1775008461.277087,0
749,1775008468.508844,0
799,1775008474.611313,0
849,1775008480.481163,0
899,1775008486.512914,0
949,1775008492.348461,0
999,1775008498.345524,0
1049,1775008504.225955,0
1099,1775008510.127491,0
1149,1775008515.966755,0
1199,1775008521.902490,0
1249,1775008527.730683,0
1299,1775008533.678592,0
1349,1775008539.570327,0
1399,1775008545.402140,0
1449,1775008551.323185,0
1499,1775008557.300057,0
1549,1775008563.251384,0
1599,1775008569.111794,0
1649,1775008575.151169,0
1699,1775008581.928646,0
1749,1775008587.768432,0
1799,1775008593.845081,0
1849,1775008599.774348,0
1899,1775008605.839384,0
1949,1775008611.703998,0
1999,1775008617.676574,0
2049,1775008623.717267,0
2099,1775008629.656841,0
2149,1775008635.742959,0
2199,1775008641.624958,0
2249,1775008647.517667,0
2299,1775008653.658814,0
2349,1775008659.629457,0
2399,1775008665.684900,0
2449,1775008671.759460,0
2499,1775008677.802186,0
2549,1775008683.734293,0
2599,1775008689.727226,0
2649,1775008697.712161,0
2699,1775008704.029357,0
2749,1775008710.405583,0
2799,1775008717.048243,0
2849,1775008723.575585,0
2899,1775008730.239334,0
2949,1775008736.760178,0
2999,1775008743.408285,0
3049,1775008750.137409,0
3099,1775008756.374613,0
3149,1775008762.440218,0
3199,1775008768.436048,0
3249,1775008774.578743,0
3299,1775008780.717275,0
3349,1775008786.791796,0
3399,1775008792.776949,0
3449,1775008798.798854,0
3499,1775008804.942914,0
3549,1775008812.355487,0
3599,1775008818.611709,0
3649,1775008824.732162,0
3699,1775008830.845192,0
3749,1775008836.777428,0
3799,1775008842.882641,0
3849,1775008848.946041,0
3899,1775008854.883237,0
3949,1775008860.997046,0
3999,1775008866.918657,0
4049,1775008872.895547,0
4099,1775008878.761780,0
4149,1775008884.536481,0
4199,1775008890.344860,0
4249,1775008896.142431,0
4299,1775008902.132306,0
4349,1775008908.089781,0
4399,1775008913.924168,0
4449,1775008920.735144,0
4499,1775008926.709868,0
4549,1775008932.733855,0
4599,1775008938.679310,0
4649,1775008944.793708,0
4699,1775008950.801702,0
4749,1775008956.742015,0
4799,1775008962.772183,0
4849,1775008968.603031,0
4899,1775008974.650402,0
4949,1775008980.742260,0
4999,1775008986.726768,0
5049,1775008992.610572,0
5099,1775008998.647411,0
5149,1775009004.769055,0
5199,1775009010.826366,0
5249,1775009017.066433,0
5299,1775009022.946985,0
5349,1775009028.844710,0
5399,1775009035.784780,0
5449,1775009041.629410,0
5499,1775009047.528973,0
5549,1775009053.457030,0
5599,1775009059.338555,0
5649,1775009065.264322,0
5699,1775009071.300488,0
5749,1775009077.412145,0
5799,1775009083.408428,0
5849,1775009089.539044,0
5899,1775009095.537076,0
5949,1775009101.509161,0
5999,1775009107.639220,0
6049,1775009113.580500,0
6099,1775009119.653767,0
6149,1775009125.696952,0
6199,1775009131.636597,0
6249,1775009137.775442,0
6299,1775009145.453041,0
6349,1775009151.478035,0
6399,1775009157.643634,0
6449,1775009163.760566,0
6499,1775009169.780826,0
6549,1775009175.753073,0
6599,1775009181.728080,0
6649,1775009187.622606,0
6699,1775009193.596611,0
6749,1775009199.680508,0
6799,1775009205.908230,0
6849,1775009212.046221,0
6899,1775009218.010335,0
6949,1775009224.086441,0
6999,1775009230.218624,0
7049,1775009236.362079,0
7099,1775009242.372211,0
7149,1775009248.518111,0
7199,1775009254.593560,0
7249,1775009262.387791,0
7299,1775009268.213432,0
7349,1775009274.099308,0
7399,1775009280.100951,0
7449,1775009286.115646,0
7499,1775009292.116673,0
7549,1775009297.976677,0
7599,1775009303.717206,0
7649,1775009309.735425,0
7699,1775009315.485429,0
7749,1775009321.102527,0
7799,1775009326.893145,0
7849,1775009332.972816,0
7899,1775009338.919331,0
7949,1775009344.935571,0
7999,1775009350.696573,0
8049,1775009356.725020,0
8099,1775009362.789579,0
8149,1775009369.849376,0
8199,1775009375.833421,0
8249,1775009381.908486,0
8299,1775009388.062119,0
8349,1775009394.225594,0
8399,1775009400.273986,0
8449,1775009406.250955,0
8499,1775009412.339198,0
8549,1775009418.471776,0
8599,1775009424.413342,0
8649,1775009430.563251,0
8699,1775009436.627317,0
8749,1775009442.810282,0
8799,1775009448.985453,0
8849,1775009455.198039,0
8899,1775009461.155434,0
8949,1775009467.351717,0
8999,1775009473.541669,0
9049,1775009479.456491,0
9099,1775009486.556541,0
9149,1775009492.489823,0
9199,1775009498.546569,0
