step,wall_time,value
49,1775008383.516952,0
99,1775008389.492015,0
149,1775008395.328544,0
199,1775008401.321800,0
249,1775008407.327640,0
299,1775008413.444211,0
349,1775008419.457572,0
399,1775008425.570615,0
449,1775008431.582237,0
499,1775008437.548312,0
549,1775008443.460451,0
599,1775008449.256316,0
649,1775008455.251632,0
699,1775008461.277105,0
749,1775008468.508867,0
799,1775008474.611331,0
849,1775008480.481182,0
899,1775008486.512940,0
949,1775008492.348483,0
999,1775008498.345551,0
1049,1775008504.225973,0
1099,1775008510.127509,0
1149,1775008515.966774,0
1199,1775008521.902515,0
1249,1775008527.730701,0
1299,1775008533.678609,0
1349,1775008539.570351,0
1399,1775008545.402163,0
1449,1775008551.323208,0
1499,1775008557.300078,0
1549,1775008563.251405,0
1599,1775008569.111810,0
1649,1775008575.151186,0
1699,1775008581.928856,0
1749,1775008587.768449,0
1799,1775008593.845099,0
1849,1775008599.774365,0
1899,1775008605.839401,0
1949,1775008611.704025,0
1999,1775008617.676593,0
2049,1775008623.717285,0
2099,1775008629.656868,0
2149,1775008635.742982,0
2199,1775008641.624977,0
2249,1775008647.517685,0
2299,1775008653.659159,0
2349,1775008659.629480,0
2399,1775008665.684927,0
2449,1775008671.759487,0
2499,1775008677.802205,0
2549,1775008683.734312,0
2599,1775008689.727251,0
2649,1775008697.712178,0
2699,1775008704.029378,0
2749,1775008710.405604,0
2799,1775008717.048269,0
2849,1775008723.575605,0
2899,1775008730.239352,0
2949,1775008736.760197,0
2999,1775008743.408308,0
3049,1775008750.137425,0
3099,1775008756.374633,0
3149,1775008762.440237,0
3199,1775008768.436067,0
3249,1775008774.578764,0
3299,1775008780.717292,0
3349,1775008786.791813,0
3399,1775008792.776968,0
3449,1775008798.798873,0
3499,1775008804.942937,0
3549,1775008812.355513,0
3599,1775008818.611729,0
3649,1775008824.732181,0
3699,1775008830.845209,0
3749,1775008836.777446,0
3799,1775008842.882662,0
3849,1775008848.946058,0
3899,1775008854.883256,0
3949,1775008860.997063,0
3999,1775008866.918674,0
4049,1775008872.895564,0
4099,1775008878.761798,0
4149,1775008884.536500,0
4199,1775008890.344879,0
4249,1775008896.142451,0
4299,1775008902.132326,0
4349,1775008908.089801,0
4399,1775008913.924186,0
4449,1775008920.735163,0
4499,1775008926.709904,0
4549,1775008932.733875,0
4599,1775008938.679335,0
4649,1775008944.793730,0
4699,1775008950.801720,0
4749,1775008956.742035,0
4799,1775008962.772200,0
4849,1775008968.603049,0
4899,1775008974.650419,0
4949,1775008980.742278,0
4999,1775008986.726787,0
5049,1775008992.610591,0
5099,1775008998.647433,0
5149,1775009004.769073,0
5199,1775009010.826387,0
5249,1775009017.066452,0
5299,1775009022.947002,0
5349,1775009028.844736,0
5399,1775009035.784803,0
5449,1775009041.629430,0
5499,1775009047.528991,0
5549,1775009053.457049,0
5599,1775009059.338574,0
5649,1775009065.264343,0
5699,1775009071.300511,0
5749,1775009077.412164,0
5799,1775009083.408448,0
5849,1775009089.539062,0
5899,1775009095.537096,0
5949,1775009101.509180,0
5999,1775009107.639238,0
6049,1775009113.580517,0
6099,1775009119.653797,0
6149,1775009125.696970,0
6199,1775009131.636616,0
6249,1775009137.775460,0
6299,1775009145.453066,0
6349,1775009151.478058,0
6399,1775009157.643655,0
6449,1775009163.760590,0
6499,1775009169.780845,0
6549,1775009175.753092,0
6599,1775009181.728105,0
6649,1775009187.622626,0
6699,1775009193.596634,0
6749,1775009199.680526,0
6799,1775009205.908247,0
6849,1775009212.046243,0
6899,1775009218.010353,0
6949,1775009224.086465,0
6999,1775009230.218642,0
7049,1775009236.362098,0
7099,1775009242.372232,0
7149,1775009248.518134,0
7199,1775009254.593580,0
7249,1775009262.387812,0
7299,1775009268.213454,0
7349,1775009274.099325,0
7399,1775009280.100978,0
7449,1775009286.115669,0
7499,1775009292.116692,0
7549,1775009297.976696,0
7599,1775009303.717226,0
7649,1775009309.735449,0
7699,1775009315.485448,0
7749,1775009321.102551,0
7799,1775009326.893164,0
7849,1775009332.972852,0
7899,1775009338.919359,0
7949,1775009344.935595,0
7999,1775009350.696591,0
8049,1775009356.725044,0
8099,1775009362.789600,0
8149,1775009369.849395,0
8199,1775009375.833439,0
8249,1775009381.908505,0
8299,1775009388.062144,0
8349,1775009394.225612,0
8399,1775009400.274012,0
8449,1775009406.250980,0
8499,1775009412.339216,0
8549,1775009418.471796,0
8599,1775009424.413362,0
8649,1775009430.563270,0
8699,1775009436.627334,0
8749,1775009442.810299,0
8799,1775009448.985479,0
8849,1775009455.198058,0
8899,1775009461.155463,0
8949,1775009467.351742,0
8999,1775009473.541688,0
9049,1775009479.456510,0
9099,1775009486.556563,0
9149,1775009492.489841,0
9199,1775009498.546593,0
9249,1775009504.482951,0
9299,1775009510.421565,0
9349,1775009516.264729,0
9399,1775009522.235771,0
9449,1775009528.260398,0
9499,1775009534.237052,0
9549,1775009540.282812,0
9599,1775009546.289532,0
9649,1775009552.408361,0
9699,1775009558.614853,0
9749,1775009564.361486,0
9799,1775009570.433125,0
9849,1775009576.357782,0
9899,1775009582.365870,0
9949,1775009588.895349,0
9999,1775009595.248772,0
10049,1775009601.406619,0
10099,1775009607.303627,0
10149,1775009613.312211,0
10199,1775009619.457580,0
10249,1775009625.504000,0
10299,1775009631.431677,0
10349,1775009637.565290,0
10399,1775009643.561260,0
10449,1775009649.495254,0
10499,1775009655.485870,0
10549,1775009661.367645,0
10599,1775009667.430209,0
10649,1775009673.242368,0
10699,1775009679.290580,0
10749,1775009685.425581,0
10799,1775009691.543846,0
10849,1775009697.673934,0
10899,1775009704.521144,0
10949,1775009710.518723,0
10999,1775009716.616009,0
11049,1775009722.705362,0
11099,1775009728.808242,0
11149,1775009734.952315,0
11199,1775009740.998313,0
11249,1775009747.055568,0
11299,1775009753.162915,0
11349,1775009759.198290,0
11399,1775009765.310782,0
11449,1775009771.361256,0
11499,1775009777.397036,0
11549,1775009783.469436,0
11599,1775009789.514962,0
11649,1775009795.437268,0
11699,1775009801.380057,0
11749,1775009808.104796,0
11799,1775009814.238487,0
11849,1775009820.298867,0
11899,1775009826.420672,0
11949,1775009832.453900,0
11999,1775009838.402496,0
12049,1775009844.301764,0
12099,1775009850.457737,0
12149,1775009856.697657,0
12199,1775009862.779420,0
12249,1775009868.854665,0
12299,1775009874.929497,0
12349,1775009880.997220,0
12399,1775009887.051309,0
12449,1775009893.055967,0
12499,1775009899.035181,0
12549,1775009904.986214,0
12599,1775009911.054928,0
12649,1775009917.790296,0
12699,1775009923.790460,0
12749,1775009929.949452,0
12799,1775009936.246398,0
12849,1775009942.423893,0
12899,1775009948.641143,0
12949,1775009954.561178,0
12999,1775009960.554478,0
13049,1775009966.694279,0
13099,1775009972.786782,0
13149,1775009978.966992,0
13199,1775009985.179948,0
13249,1775009991.454971,0
13299,1775009997.430185,0
13349,1775010003.550065,0
13399,1775010009.797619,0
13449,1775010015.996004,0
13499,1775010022.028825,0
13549,1775010027.928689,0
13599,1775010035.236979,0
13649,1775010041.226209,0
13699,1775010047.434273,0
13749,1775010053.449933,0
13799,1775010059.432042,0
13849,1775010065.543817,0
13899,1775010071.560588,0
13949,1775010077.612948,0
13999,1775010083.631576,0
14049,1775010089.728121,0
14099,1775010095.893576,0
14149,1775010101.834656,0
14199,1775010107.861273,0
14249,1775010113.946714,0
14299,1775010119.906791,0
14349,1775010125.831657,0
14399,1775010131.838814,0
14449,1775010137.895367,0
14499,1775010144.044594,0
14549,1775010151.317443,0
14599,1775010157.427589,0
14649,1775010163.732630,0
14699,1775010170.232393,0
14749,1775010176.271915,0
14799,1775010182.469651,0
14849,1775010188.527281,0
14899,1775010194.779066,0
14949,1775010200.883197,0
14999,1775010206.947088,0
15049,1775010213.062413,0
15099,1775010219.178430,0
15149,1775010225.179115,0
15199,1775010231.199730,0
15249,1775010237.227354,0
15299,1775010243.379399,0
15349,1775010249.483927,0
15399,1775010255.491463,0
15449,1775010263.129849,0
15499,1775010268.991723,0
15549,1775010274.985607,0
15599,1775010281.011432,0
15649,1775010287.128728,0
15699,1775010293.464738,0
15749,1775010299.517022,0
15799,1775010305.707067,0
15849,1775010311.740015,0
15899,1775010317.705240,0
15949,1775010323.755729,0
15999,1775010329.801561,0
16049,1775010335.717354,0
16099,1775010341.822158,0
16149,1775010347.884974,0
16199,1775010353.752366,0
16249,1775010359.652637,0
16299,1775010365.804431,0
16349,1775010373.666969,0
16399,1775010379.586537,0
16449,1775010385.687653,0
16499,1775010391.694423,0
16549,1775010397.780440,0
16599,1775010403.862153,0
16649,1775010409.946364,0
16699,1775010415.971851,0
16749,1775010421.992847,0
16799,1775010427.926392,0
16849,1775010433.702712,0
16899,1775010439.686235,0
16949,1775010445.687297,0
16999,1775010451.646218,0
17049,1775010457.585792,0
17099,1775010463.726873,0
17149,1775010469.664782,0
17199,1775010475.799191,0
17249,1775010483.077575,0
17299,1775010489.241136,0
17349,1775010495.369320,0
17399,1775010501.466582,0
17449,1775010507.490260,0
17499,1775010513.721659,0
17549,1775010519.794548,0
17599,1775010525.914376,0
17649,1775010531.995861,0
17699,1775010538.133899,0
17749,1775010544.201869,0
17799,1775010550.047651,0
17849,1775010556.275223,0
17899,1775010562.468304,0
17949,1775010568.627832,0
17999,1775010574.608478,0
18049,1775010580.519288,0
18099,1775010586.753238,0
18149,1775010593.285347,0
18199,1775010599.174716,0
18249,1775010605.384697,0
18299,1775010611.424253,0
18349,1775010617.400463,0
18399,1775010623.690511,0
18449,1775010629.998471,0
18499,1775010635.953244,0
18549,1775010642.080482,0
18599,1775010648.078035,0
18649,1775010654.044286,0
18699,1775010660.196730,0
18749,1775010666.156303,0
18799,1775010672.104521,0
18849,1775010678.038835,0
18899,1775010683.948545,0
18949,1775010690.078949,0
18999,1775010696.177747,0
19049,1775010703.556612,0
19099,1775010709.800983,0
19149,1775010715.788844,0
19199,1775010721.909725,0
19249,1775010728.043943,0
19299,1775010734.109742,0
19349,1775010740.205149,0
19399,1775010746.275176,0
19449,1775010752.335370,0
19499,1775010758.454258,0
19549,1775010764.535163,0
19599,1775010770.546431,0
19649,1775010776.674465,0
19699,1775010782.766207,0
19749,1775010788.660100,0
19799,1775010794.707832,0
19849,1775010800.646492,0
19899,1775010806.602997,0
19949,1775010814.107462,0
19999,1775010820.352315,0
20049,1775010826.616594,0
20099,1775010832.961549,0
20149,1775010839.040177,0
20199,1775010845.215573,0
20249,1775010851.466137,0
20299,1775010857.462408,0
20349,1775010863.503954,0
20399,1775010869.503502,0
20449,1775010875.572113,0
20499,1775010882.261655,0
20549,1775010888.869321,0
20599,1775010895.096586,0
20649,1775010901.195276,0
20699,1775010907.202275,0
20749,1775010913.239975,0
20799,1775010919.153436,0
20849,1775010925.135639,0
20899,1775010932.266662,0
20949,1775010938.427854,0
20999,1775010944.668738,0
21049,1775010950.566438,0
21099,1775010956.639877,0
21149,1775010962.754708,0
21199,1775010968.836325,0
21249,1775010974.968380,0
21299,1775010981.048973,0
