step,wall_time,value
49,1775249263.972656,0
99,1775249280.789343,0
149,1775249298.072227,0
199,1775249316.108016,0
249,1775249333.715847,0
299,1775249350.330222,0
349,1775249366.429922,0
399,1775249382.980932,0
449,1775249399.801169,0
499,1775249417.245149,0
549,1775249434.922219,0
599,1775249452.569686,0
649,1775249468.658209,0
699,1775249486.455082,0
749,1775249503.750838,0
799,1775249519.410143,0
849,1775249536.150674,0
899,1775249552.229578,0
949,1775249569.700087,0
999,1775249587.907506,0
1049,1775249604.217019,0
1099,1775249620.976722,0
1149,1775249637.567905,0
1199,1775249653.712936,0
1249,1775249669.722654,0
1299,1775249686.811785,0
1349,1775249703.398472,0
1399,1775249719.471975,0
1449,1775249735.222126,0
1499,1775249751.720519,0
1549,1775249767.665148,0
1599,1775249783.751625,0
1649,1775249800.083771,0
1699,1775249816.403290,0
1749,1775249832.341725,0
1799,1775249849.769666,0
1849,1775249866.387629,0
1899,1775249882.410792,0
1949,1775249898.255364,0
1999,1775249914.688635,0
2049,1775249930.579810,0
2099,1775249946.632288,0
2149,1775249963.162040,0
2199,1775249980.443863,0
2249,1775249996.860679,0
2299,1775250013.259459,0
2349,1775250029.390087,0
2399,1775250046.878159,0
2449,1775250062.829580,0
2499,1775250079.117948,0
2549,1775250095.552263,0
2599,1775250111.886257,0
2649,1775250128.572484,0
2699,1775250145.467441,0
2749,1775250161.439560,0
2799,1775250177.124227,0
2849,1775250193.500784,0
2899,1775250209.699011,0
2949,1775250225.823285,0
2999,1775250242.396138,0
3049,1775250258.948522,0
3099,1775250275.013016,0
3149,1775250290.800415,0
3199,1775250307.926335,0
3249,1775250323.580303,0
3299,1775250339.766230,0
3349,1775250356.050602,0
3399,1775250373.455896,0
3449,1775250389.286044,0
3499,1775250406.410370,0
3549,1775250422.971321,0
3599,1775250439.510971,0
3649,1775250456.220265,0
3699,1775250473.356440,0
3749,1775250489.286548,0
3799,1775252338.267193,0
3849,1775252355.343113,0
3899,1775252372.207760,0
3949,1775252388.830621,0
3999,1775252407.438998,0
4049,1775252424.149659,0
4099,1775252441.868866,0
4149,1775252459.199685,0
4199,1775252476.214623,0
4249,1775252493.578995,0
4299,1775252510.630581,0
4349,1775252527.663198,0
4399,1775252543.675934,0
4449,1775252561.067722,0
4499,1775252578.429198,0
4549,1775252595.163020,0
4599,1775252611.019057,0
4649,1775252628.781284,0
4699,1775252644.971529,0
4749,1775252660.802541,0
4799,1775252677.895928,0
4849,1775252695.091107,0
4899,1775252711.452102,0
4949,1775252728.498313,0
4999,1775252745.785585,0
5049,1775252762.782790,0
5099,1775252780.501966,0
5149,1775252799.628836,0
5199,1775252817.778979,0
5249,1775252835.816734,0
5299,1775252853.033635,0
5349,1775252870.996565,0
5399,1775252888.240864,0
5449,1775252906.069672,0
5499,1775252924.129565,0
5549,1775252942.528131,0
5599,1775252958.963595,0
5649,1775252976.739813,0
5699,1775252994.253947,0
5749,1775253011.805223,0
5799,1775253029.499165,0
5849,1775253047.637285,0
5899,1775253065.082689,0
5949,1775253083.251266,0
5999,1775253101.358446,0
6049,1775253118.356251,0
6099,1775253136.048551,0
