step,wall_time,value
49,1775249263.972559,0
99,1775249280.789250,0
149,1775249298.072126,0
199,1775249316.107915,0
249,1775249333.715775,0
299,1775249350.330094,0
349,1775249366.429791,0
399,1775249382.980819,0
449,1775249399.801072,0
499,1775249417.245048,0
549,1775249434.922131,0
599,1775249452.569598,0
649,1775249468.658110,0
699,1775249486.454995,0
749,1775249503.750757,0
799,1775249519.410013,0
849,1775249536.150579,0
899,1775249552.229476,0
949,1775249569.700013,0
999,1775249587.907408,0
1049,1775249604.216947,0
1099,1775249620.976633,0
1149,1775249637.567757,0
1199,1775249653.712824,0
1249,1775249669.722580,0
1299,1775249686.811656,0
1349,1775249703.398394,0
1399,1775249719.471871,0
1449,1775249735.221997,0
1499,1775249751.720381,0
1549,1775249767.665054,0
1599,1775249783.751542,0
1649,1775249800.083700,0
1699,1775249816.403158,0
1749,1775249832.341586,0
1799,1775249849.769563,0
1849,1775249866.387540,0
1899,1775249882.410720,0
1949,1775249898.255269,0
1999,1775249914.688530,0
2049,1775249930.579710,0
2099,1775249946.632201,0
2149,1775249963.161940,0
2199,1775249980.443768,0
2249,1775249996.860550,0
2299,1775250013.259363,0
2349,1775250029.389983,0
2399,1775250046.878089,0
2449,1775250062.829450,0
2499,1775250079.117753,0
2549,1775250095.552186,0
2599,1775250111.886189,0
2649,1775250128.572390,0
2699,1775250145.467357,0
2749,1775250161.439471,0
2799,1775250177.124158,0
2849,1775250193.500661,0
2899,1775250209.698874,0
2949,1775250225.823185,0
2999,1775250242.396037,0
3049,1775250258.948431,0
3099,1775250275.012874,0
3149,1775250290.800285,0
3199,1775250307.926202,0
3249,1775250323.580176,0
3299,1775250339.766073,0
3349,1775250356.050528,0
3399,1775250373.455760,0
3449,1775250389.285924,0
3499,1775250406.410283,0
3549,1775250422.971244,0
3599,1775250439.510898,0
3649,1775250456.220191,0
3699,1775250473.356345,0
3749,1775250489.286416,0
3799,1775252338.267123,0
3849,1775252355.343016,0
3899,1775252372.207686,0
3949,1775252388.830422,0
3999,1775252407.438921,0
4049,1775252424.149579,0
4099,1775252441.868796,0
4149,1775252459.199561,0
4199,1775252476.214536,0
4249,1775252493.578902,0
4299,1775252510.630446,0
4349,1775252527.663043,0
4399,1775252543.675830,0
4449,1775252561.067623,0
4499,1775252578.429114,0
4549,1775252595.162925,0
4599,1775252611.018931,0
4649,1775252628.781103,0
4699,1775252644.971340,0
4749,1775252660.802357,0
